time,gFx,gFy,gFz,gFTotal,label
2.060749054,0.019,-0.553,-0.962,1.11,walk
2.074856758,0.03,-0.538,-0.961,1.102,walk
2.09691906,0.059,-0.518,-0.952,1.085,walk
2.097221851,0.059,-0.518,-0.952,1.085,walk
2.099441051,0.083,-0.514,-0.943,1.077,walk
2.114879847,0.117,-0.523,-0.938,1.08,walk
2.119817734,0.156,-0.55,-0.945,1.104,walk
2.131397724,0.194,-0.591,-0.961,1.145,walk
2.139943838,0.215,-0.638,-0.982,1.191,walk
2.150368929,0.223,-0.685,-0.996,1.229,walk
2.16065383,0.212,-0.72,-0.996,1.247,walk
2.19210887,0.073,-0.742,-1.004,1.251,walk
2.192349911,0.073,-0.742,-1.004,1.251,walk
2.192578793,0.073,-0.742,-1.004,1.251,walk
2.200092793,0.035,-0.738,-0.994,1.239,walk
2.210003853,0.015,-0.709,-0.975,1.206,walk
2.219982862,0.02,-0.662,-0.951,1.159,walk
2.229810715,0.054,-0.603,-0.933,1.112,walk
2.240305901,0.107,-0.54,-0.931,1.082,walk
2.250302792,0.167,-0.473,-0.943,1.068,walk
2.260915756,0.231,-0.409,-0.953,1.062,walk
2.273746014,0.288,-0.357,-0.952,1.057,walk
2.295550823,0.363,-0.295,-0.914,1.027,walk
2.295814991,0.363,-0.295,-0.914,1.027,walk
2.299432755,0.38,-0.291,-0.891,1.011,walk
2.317071915,0.386,-0.302,-0.866,0.995,walk
2.319591999,0.377,-0.31,-0.839,0.971,walk
2.331418991,0.351,-0.305,-0.81,0.934,walk
2.33995676,0.323,-0.302,-0.778,0.895,walk
2.349711895,0.304,-0.302,-0.749,0.863,walk
2.36044693,0.294,-0.304,-0.738,0.851,walk
2.392657757,0.285,-0.302,-0.772,0.877,walk
2.392884731,0.285,-0.302,-0.772,0.877,walk
2.393102884,0.285,-0.302,-0.772,0.877,walk
2.399250984,0.272,-0.306,-0.772,0.874,walk
2.409714937,0.25,-0.316,-0.771,0.87,walk
2.419903755,0.222,-0.333,-0.77,0.868,walk
2.429769993,0.186,-0.35,-0.764,0.861,walk
2.440110922,0.145,-0.363,-0.759,0.854,walk
2.45017004,0.111,-0.382,-0.748,0.847,walk
2.460340977,0.092,-0.405,-0.725,0.836,walk
2.496675014,0.05,-0.479,-0.658,0.815,walk
2.496992826,0.05,-0.479,-0.658,0.815,walk
2.497349739,0.05,-0.479,-0.658,0.815,walk
2.499413013,0.041,-0.498,-0.648,0.818,walk
2.509656906,0.04,-0.518,-0.642,0.826,walk
2.519358873,0.04,-0.536,-0.641,0.837,walk
2.529895782,0.037,-0.548,-0.641,0.844,walk
